epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0619,1.53886,2.83074,1.02185,0.03558,0.38775,0.21262,0.11084,1.35654,3.20225,0.93746,0.000408333,0.000408333,0.000408333
2,46.0143,1.41828,1.63332,1.00821,0.978,0.16775,0.23209,0.13995,1.29531,2.23462,0.97731,0.000804581,0.000804581,0.000804581
3,62.5384,1.37328,1.48467,0.99336,0.46128,0.23603,0.24646,0.15861,1.20181,1.53563,0.97412,0.0011802,0.0011802,0.0011802
4,79.0079,1.29958,1.42086,0.97187,0.71556,0.23124,0.25575,0.1705,1.11593,1.16852,0.95637,0.00115719,0.00115719,0.00115719
5,95.4757,1.22375,1.29661,0.95267,0.97075,0.23484,0.26078,0.1764,1.0836,1.07433,0.94067,0.00112625,0.00112625,0.00112625
6,111.825,1.17348,1.20674,0.93537,0.75356,0.23853,0.2641,0.17983,1.08567,1.03012,0.93354,0.00109531,0.00109531,0.00109531
7,128.393,1.15412,1.17124,0.93882,0.48288,0.27447,0.29376,0.18607,1.17899,1.02447,0.94839,0.00106437,0.00106437,0.00106437
8,144.825,1.20871,1.15666,0.93425,0.57482,0.28837,0.32298,0.21308,1.07117,0.95136,0.93125,0.00103344,0.00103344,0.00103344
9,161.508,1.15743,1.09755,0.92242,0.89531,0.30139,0.37098,0.23916,1.1129,0.94536,0.93723,0.0010025,0.0010025,0.0010025
10,178.489,1.14463,1.08092,0.92669,0.88612,0.32458,0.42251,0.26554,1.0148,0.87885,0.91634,0.000971562,0.000971562,0.000971562
11,196.401,1.15261,1.04722,0.92219,0.494,0.45609,0.50039,0.30302,1.04959,0.86062,0.93328,0.000940625,0.000940625,0.000940625
12,212.795,1.15719,1.02889,0.92975,0.52336,0.5159,0.51911,0.3096,1.02889,0.82192,0.92077,0.000909688,0.000909688,0.000909688
13,229.801,1.13752,0.98888,0.92182,0.62516,0.58734,0.59565,0.36829,1.04396,0.78926,0.92145,0.00087875,0.00087875,0.00087875
14,246.653,1.13786,0.96314,0.91665,0.73217,0.65061,0.68066,0.4304,1.02523,0.78741,0.92683,0.000847813,0.000847813,0.000847813
15,263.067,1.08529,0.91965,0.91461,0.81146,0.67646,0.71982,0.46036,0.99583,0.72669,0.90945,0.000816875,0.000816875,0.000816875
16,279.556,1.08551,0.88629,0.90585,0.79157,0.67631,0.7225,0.46817,1.00809,0.71862,0.91529,0.000785938,0.000785938,0.000785938
17,295.847,1.08596,0.8672,0.90966,0.84466,0.68907,0.75307,0.46748,1.02344,0.7234,0.92736,0.000755,0.000755,0.000755
