epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6314,1.53886,2.83074,1.02185,0.03558,0.38775,0.21262,0.11084,1.35654,3.20225,0.93746,0.000408333,0.000408333,0.000408333
2,42.1385,1.41568,1.63085,1.00757,0.97817,0.17186,0.23338,0.14176,1.28046,2.21976,0.97365,0.000808665,0.000808665,0.000808665
3,59.496,1.37596,1.48377,0.99277,0.46197,0.2363,0.24762,0.15946,1.19015,1.54579,0.97002,0.0011925,0.0011925,0.0011925
4,76.5556,1.28948,1.41621,0.97168,0.71796,0.22893,0.25592,0.16849,1.13378,1.17842,0.96242,0.00117575,0.00117575,0.00117575
5,93.5161,1.23327,1.30201,0.95709,0.97303,0.22945,0.26131,0.17728,1.08242,1.07039,0.94232,0.001151,0.001151,0.001151
6,110.695,1.17955,1.20879,0.93868,0.79503,0.26612,0.28403,0.19002,1.08887,1.03161,0.93943,0.00112625,0.00112625,0.00112625
7,127.488,1.15184,1.16838,0.93868,0.93345,0.26946,0.32603,0.21045,1.06801,0.99959,0.93436,0.0011015,0.0011015,0.0011015
8,144.548,1.17003,1.13469,0.93182,0.90158,0.28024,0.32919,0.2109,1.13214,0.97813,0.93827,0.00107675,0.00107675,0.00107675
9,161.729,1.17223,1.10523,0.92533,0.56762,0.3296,0.377,0.237,1.09175,0.92281,0.93272,0.001052,0.001052,0.001052
10,178.508,1.14,1.07501,0.92446,0.88059,0.31836,0.43534,0.27477,1.01189,0.87249,0.91637,0.00102725,0.00102725,0.00102725
11,195.67,1.14824,1.0603,0.91668,0.49298,0.45127,0.48819,0.29779,1.09993,0.91027,0.93449,0.0010025,0.0010025,0.0010025
12,212.48,1.14029,1.04125,0.92247,0.53521,0.55486,0.53378,0.32481,1.02155,0.84307,0.91883,0.00097775,0.00097775,0.00097775
13,229.395,1.09658,0.96499,0.91332,0.68526,0.58705,0.64679,0.40178,1.01996,0.79274,0.91743,0.000953,0.000953,0.000953
14,246.017,1.09197,0.92849,0.90724,0.77538,0.64163,0.69867,0.43786,1.00589,0.75748,0.91669,0.00092825,0.00092825,0.00092825
15,265.668,1.05996,0.88124,0.90629,0.78352,0.71081,0.72996,0.4653,0.99472,0.69725,0.91122,0.0009035,0.0009035,0.0009035
16,282.416,1.06619,0.8534,0.90613,0.80498,0.69935,0.7586,0.48313,0.98477,0.69538,0.91663,0.00087875,0.00087875,0.00087875
17,299.227,1.06649,0.8305,0.90766,0.7715,0.72965,0.75396,0.47326,0.9837,0.67351,0.91037,0.000854,0.000854,0.000854
18,315.811,1.09483,0.83357,0.90914,0.81618,0.69751,0.76573,0.47166,0.9811,0.68132,0.91304,0.00082925,0.00082925,0.00082925
19,332.755,1.06465,0.82041,0.91476,0.78547,0.71451,0.76731,0.49084,0.97477,0.69068,0.91734,0.0008045,0.0008045,0.0008045
20,349.572,1.06278,0.79343,0.9074,0.89722,0.65921,0.77052,0.48426,0.99937,0.67225,0.91875,0.00077975,0.00077975,0.00077975
21,366.173,1.05147,0.76894,0.90032,0.93843,0.67621,0.79394,0.50286,1.00203,0.6517,0.90693,0.000755,0.000755,0.000755
22,383.202,1.06279,0.76235,0.89827,0.82935,0.78046,0.80197,0.52425,0.96322,0.6191,0.90783,0.00073025,0.00073025,0.00073025
23,400.21,1.02098,0.73245,0.89273,0.88847,0.72248,0.79866,0.51929,0.9508,0.62422,0.90169,0.0007055,0.0007055,0.0007055
24,417.01,1.05231,0.73511,0.90038,0.80054,0.76597,0.80126,0.50891,0.9788,0.6337,0.914,0.00068075,0.00068075,0.00068075
25,433.601,1.02551,0.71082,0.89602,0.81675,0.76935,0.80687,0.52758,0.97641,0.63317,0.90881,0.000656,0.000656,0.000656
26,451.027,1.05086,0.71626,0.89654,0.81438,0.74961,0.81623,0.52268,1.00724,0.62976,0.91768,0.00063125,0.00063125,0.00063125
27,467.759,1.04994,0.72943,0.90013,0.79506,0.77673,0.81532,0.5285,0.97437,0.62382,0.91096,0.0006065,0.0006065,0.0006065
